,Pclass,Sex,Age,Fare,Embarked,FamilyCount,Title,Has Cabin,IsAlone,Survived
410,3,0,29.69911764705882,7.8958,0,0,1,0,0,0
627,1,1,21.0,77.9583,0,0,2,1,0,1
28,3,1,29.69911764705882,7.8792,1,0,2,0,0,1
12,3,0,20.0,8.05,0,0,1,0,0,0
861,2,0,21.0,11.5,0,1,1,0,1,0
685,2,0,25.0,41.5792,2,3,1,0,1,0
602,1,0,29.69911764705882,42.4,0,0,1,0,0,0
42,3,0,29.69911764705882,7.8958,2,0,1,0,0,0
146,3,0,27.0,7.7958,0,0,1,0,0,1
459,3,0,29.69911764705882,7.75,1,0,1,0,0,0
768,3,0,29.69911764705882,24.15,1,1,1,0,1,0
451,3,0,29.69911764705882,19.9667,0,1,1,0,1,0
96,1,0,71.0,34.6542,2,0,1,1,0,0
341,1,1,24.0,263.0,0,5,2,1,1,1
173,3,0,21.0,7.925,0,0,1,0,0,0
196,3,0,29.69911764705882,7.75,1,0,1,0,0,0
510,3,0,29.0,7.75,1,0,1,0,0,1
670,2,1,40.0,39.0,0,2,3,0,1,1
411,3,0,29.69911764705882,6.8583,1,0,1,0,0,0
